Fire_Size,Fire_Size_Class,Fire_Cause,Latitude,Longitude,State,Discovery_Month,Discovery_Date,Discovery_Year,Vegetation,Fire_Magnitude,Temp_Pre_30,Temp_Pre_15,Temp_Pre_7,Temp_Present,Wind_Pre_30,Wind_Pre_15,Wind_Pre_7,Wind_Present,Hum_Pre_30,Hum_Pre_15,Hum_Pre_7,Hum_Present,Prec_Pre_30,Prec_Pre_15,Prec_Pre_7,Prec_Present
1,B,Debris Burning,36,-81.35,NC,Feb,1/5/2001,2001,15,0.1,4.709058403,4.971867008,6.69244186,8.090511727,2.084330144,2.725319693,2.71627907,2.283853606,59.12215909,53.69467787,53.86826347,65.30828221,50.2,38.8,8.6,63.4
1,B,Missing/Undefined,42.59845,-96.59732,SD,Feb,1/30/2000,2000,4,0.1,0.333104126,2.910771993,8.32189781,5.874653887,4.956200787,4.955935252,4.806593407,4.48875803,75.18031088,78.54851485,78.8963964,65.73946785,26,21.4,17.5,27.3
9.95,B,Debris Burning,31.36263391,-82.89835757,GA,Oct,9/24/2005,2005,12,0.1,22.89841112,20.75870445,20.01493776,15.30039254,1.925024826,1.327327935,0.805394191,1.851815505,81.04229607,79.64669421,78.91774892,74.85353535,57.7,0.3,0.3,55.1
1,B,Debris Burning,31.437347,-94.804238,TX,Aug,7/29/2012,2012,12,0.1,28.19416126,27.29444444,25.7281746,24.98420074,2.174791474,2.335740741,2.316269841,2.18855814,66.72242817,66.45277778,69.09126984,68.63023256,26.2,19.3,19.3,104.4
10,C,Equipment Use,41.40636,-102.966,NE,Jul,6/2/2007,2007,15,1,19.60883028,21.95136986,21.61649485,23.50691193,5.984174312,6.148630137,6.510309278,4.784392419,58.48126464,53.63761468,52.77835052,59.48342857,30.3,11.2,4.6,37.7
1,B,Debris Burning,33.5122,-89.8317,MS,Sep,8/2/2000,2000,16,0.1,28.59068493,29.45616438,29.95,23.40165094,2.161813187,2.061432507,1.939880952,3.112617925,65.18681319,61.96418733,61.56547619,69.38545455,2.9,0.8,0.8,14
2,B,Campfire,32.67292,-95.01875,TX,Sep,8/21/1999,1999,12,0.1,26.44383562,24.79646018,22.58992806,20.41536273,2.42109589,2.381710914,1.984892086,2.7069869,65.24550898,64.58842444,59.52755906,67.18555008,28,6.4,0.3,71.2
4,B,Debris Burning,33.3444,-90.4514,MS,Nov,10/6/2005,2005,16,0.1,14.44459161,11.72944162,12.91513514,13.64419695,2.030905077,2.44213198,2.391351351,3.68147714,72.58169177,68.65217391,69.08743169,65.55771567,5.7,4.6,4.6,88.4
1,B,Missing/Undefined,31.996263,-90.324272,MS,Oct,9/26/2010,2010,12,0.1,19.93591731,20.02568579,20.1975,15.0127907,1.891709845,2.028571429,2.535353535,2.30259624,57.36953642,61.47643979,67.52173913,78.03406814,10.9,6.6,6.1,143.3
3,B,Miscellaneous,33.5875,-81.6375,SC,Apr,3/11/1997,1997,16,0.1,16.29043779,17.64401914,18.48324324,16.48730512,3.300576037,3.648564593,3.489189189,3.327728285,59.86536108,54.02955665,51.03783784,65.35574572,33.3,13.5,3.3,130.1
100,D,Miscellaneous,33.686855,-98.74498,TX,Jun,5/23/2013,2013,16,3,26.70177819,27.326742,27.43841463,29.01618911,5.325222274,3.785781544,3.738617886,4.002727273,57.92419279,56.84180791,61.29674797,47.34497608,6.9,1.9,0.8,0.8
2,B,Smoking,37.95,-120.4211111,CA,Oct,9/10/2008,2008,0,0.1,22.4886921,23.00294906,20.03055556,16.69398693,2.714032698,2.5769437,2.730555556,2.17434555,51.24420191,50.09946237,60.64804469,55.60863874,12,12,12,8.8
