Fire_Size,Fire_Cause,Latitude,Longitude,State,Discovery_Date
1.5,Debris Burning,33.96667002,-81.61666998,SC,3/18/2004
1.0,Miscellaneous,32.275059,-95.209103,TX,2/1/2013
10.0,Missing/Undefined,32.628148,-89.584361,MS,11/13/2010
4.0,Campfire,33.8775,-86.77055,AL,6/20/1995
3.0,Arson,38.5431,-83.0897,KY,2/9/2001
2.5,Lightning,45.29222222,-117.7013889,OR,6/9/2006
3.54,Arson,32.71507841,-83.5331566,GA,1/29/2007
48.87,Debris Burning,32.38357635,-83.60157626,GA,1/31/2004
60.0,Arson,34.8897,-88.1522,MS,3/20/2006
5.0,Miscellaneous,28.790217,-97.0451609,TX,5/11/2013
2.0,Debris Burning,31.97264074,-95.0302997,TX,3/22/2009
1.0,Miscellaneous,40.74725723,-98.74855042,NE,4/17/2009
1.0,Smoking,30.76278,-86.69417,FL,2/2/2008
1.0,Debris Burning,32.2078274,-96.7852845,TX,7/26/2010
5.0,Equipment Use,32.4069,-83.5497,GA,9/8/1999
2.0,Debris Burning,44.01318,-97.92555999,SD,2/11/2004
1.0,Debris Burning,42.66,-71.34,MA,7/19/2002
1.0,Debris Burning,35.9167,-82.2667,NC,2/24/2004
2.0,Equipment Use,30.26,-82.28,FL,1/17/1997
7.0,Debris Burning,33.74303,-86.40275,AL,6/21/1995
5.0,Equipment Use,34.0458,-81.4672,SC,11/21/1998
12.0,Debris Burning,28.53750002,-82.51,FL,1/31/2005
2.0,Arson,32.7478,-89.9325,MS,8/21/2002
1.0,Campfire,36.4433,-91.8344,AR,8/4/2001
1.0,Missing/Undefined,35.71346,-93.54244,AR,2/27/2013
1.0,Equipment Use,35.6883,-75.8917,NC,4/4/1995
5.0,Debris Burning,33.641,-86.38614,AL,3/26/1996
8.0,Campfire,35.32367998,-94.12132998,AR,7/10/2005
8.0,Debris Burning,42.375808,-74.146631,NY,9/2/1995
0.7,Children,34.0044,-81.2733,SC,5/12/2000
4.0,Miscellaneous,32.33999998,-94.54806002,TX,2/10/2006
1.0,Debris Burning,33.127063,-94.221497,TX,9/4/2014
5.0,Smoking,34.57943997,-80.03833001,SC,2/22/2005
1.0,Debris Burning,34.80978998,-80.40361997,SC,1/22/2006
57.0,Miscellaneous,30.28499999,-95.77083999,TX,10/1/2004
175.0,Arson,37.4336,-83.0117,KY,9/28/2001
75.0,Missing/Undefined,26.75389,-81.77138999,FL,3/10/2005
1.0,Miscellaneous,41.82199097,-103.4470978,NE,5/31/2010
1.0,Equipment Use,32.339738,-99.428397,TX,8/4/2015
1.0,Arson,38.09,-92.32,MO,3/14/2003
3.0,Debris Burning,34.23684999,-78.01262998,NC,1/30/2006
40.0,Lightning,44.98749999,-102.1191,SD,6/12/2006
1.0,Lightning,33.24041,-97.25338,TX,5/12/2012
1.0,Campfire,32.80204,-86.50106,AL,8/9/1995
0.78,Debris Burning,34.06277988,-85.23256698,GA,2/11/2004
1.0,Equipment Use,33.76388888,-116.9580556,CA,2/15/2007
10.0,Miscellaneous,30.857732,-95.251465,TX,1/16/2011
15.0,Lightning,32.54688,-81.12024,SC,5/26/2008
0.84,Arson,32.71670847,-83.53132543,GA,11/6/2003
20.0,Arson,33.1267,-85.9217,AL,1/24/2000
20.0,Debris Burning,32.1458,-86.5442,AL,11/18/1999
2.0,Debris Burning,33.16597037,-81.82152982,GA,1/18/2009
572.99,Debris Burning,46.52412296,-116.6050951,ID,8/15/2010
0.7,Debris Burning,34.6186,-84.8222,GA,10/23/1998
